Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
5,TOBACCO,93211147,PJ ORIG BLUE 30/180,9008,450394,6,20.000,3,2,207.600,4.000,267.600,243.273,24.327
5,TOBACCO,9310797281683,PORT ROYAL RYO R&W 25/125G,9750,602629,5,27.000,5,2,57.660,1.000,74.900,68.091,6.809
5,TOBACCO,17843,RANCH FLT MICRO SLIM 130S,17843,485323,12,27.000,2,3,1.390,1.000,2.900,2.636,0.264
5,TOBACCO,9024,RIZLA PAPERS DBL 100PK,9024,999979,25,99.000,3,24,1.820,2.000,5.000,4.545,0.455
5,TOBACCO,9025,TALLY HO PAPERS 50PK,9025,081103,100,400.000,4,0,0.660,1.000,2.000,1.818,0.182
5,TOBACCO,9310797284905,WF ORIG BLUE 25/200,19744,197726,8,8.000,1,0,297.080,7.000,391.300,355.727,35.573
5,TOBACCO,9310797284929,WF ORIG GOLD 25/200,19746,214337,8,25.000,3,1,212.200,5.000,279.500,254.091,25.409
5,TOBACCO,9310797284882,WF ORIG RED 25/200,19506,196851,8,3.000,0,3,169.760,4.000,223.600,203.273,20.327
5,TOBACCO,9310797281720,WF RYO BLUE 25/125G,9763,363123,5,7.000,1,1,55.320,1.000,74.000,67.273,6.727
5,TOBACCO,9310797281744,WF RYO GOLD 25/125G,9764,363115,5,10.000,2,0,55.320,1.000,74.000,67.273,6.727
6,SOFTDRINKS,090712,B/BERG GINGER BEER 375ML,15638,90712,24,23.000,0,23,18.040,11.000,30.800,28.001,2.800
6,SOFTDRINKS,428583,B/BERG GINGER BEER 750ML,15635,00428583,12,23.000,1,11,2.750,1.000,4.000,3.636,0.364
6,SOFTDRINKS,436,COKE 1.25L,436,950062,12,18.000,1,6,5.620,2.000,10.600,9.636,0.964
6,SOFTDRINKS,4010,COKE 375ML,4010,950971,24,212.000,8,20,63.920,47.000,131.040,119.129,11.911
6,SOFTDRINKS,4011,COKE 600ML,4011,955732,24,161.000,6,16,39.710,19.000,80.500,73.182,7.318
6,SOFTDRINKS,16563,COKE NO SUGAR 375ML,16563,953346,24,308.000,12,20,19.040,14.000,38.920,35.383,3.538
6,SOFTDRINKS,16567,COKE NO SUGAR 600ML,16567,953320,24,121.000,5,1,77.330,37.000,157.500,143.182,14.318
6,SOFTDRINKS,20058,LEVEL LEMONADE ORIG 300ML,20058,00871341,6,36.000,6,0,13.200,5.000,23.000,20.909,2.091
6,SOFTDRINKS,20059,LEVEL LEMONADE PINE 300ML,20059,00871375,6,34.000,5,4,7.920,3.000,13.800,12.545,1.255
6,SOFTDRINKS,20571,MOUNTAIN DEW 440ML,20571,10004814,24,3.000,0,3,10.450,11.000,33.190,30.173,3.017
6,SOFTDRINKS,20577,MOUNTAIN DEW 600ML,20577,10004815,24,34.000,1,10,1.510,1.000,4.500,4.091,0.409
6,SOFTDRINKS,20568,PEPSI 440ML,20568,10005611,24,80.000,3,8,10.450,11.000,33.100,30.091,3.009
6,SOFTDRINKS,20574,PEPSI 600ML,20574,3221,24,67.000,2,18,1.510,1.000,4.500,4.091,0.409
6,SOFTDRINKS,18926,PEPSI MAX 440ML,18926,10002391,24,101.000,4,4,3.800,4.000,12.200,11.091,1.109
6,SOFTDRINKS,20575,SCH LEMONADE 600ML,20575,2919,24,51.000,2,3,3.020,2.000,9.000,8.182,0.818
6,SOFTDRINKS,20569,SCH TRAD RASP 440ML,20569,10005613,24,79.000,3,6,0.950,1.000,3.100,2.818,0.282
6,SOFTDRINKS,20578,SCH TRAD RASP 600ML,20578,2925,24,91.000,3,18,1.510,1.000,4.500,4.091,0.409
6,SOFTDRINKS,18927,SOLO 440ML,18927,10000277,24,79.000,3,6,4.750,5.000,14.890,13.537,1.354
6,SOFTDRINKS,20573,SOLO 600ML,20573,2918,24,27.000,1,3,1.510,1.000,4.500,4.091,0.409
6,SOFTDRINKS,4025,SPRITE 375ML,4025,950420,24,59.000,2,11,4.080,3.000,8.400,7.637,0.764
6,SOFTDRINKS,18928,SUNKIST 440ML,18928,10005612,24,44.000,1,20,3.800,4.000,12.100,11.000,1.100
6,SOFTDRINKS,20576,SUNKIST 600ML,20576,2938,24,33.000,1,9,4.530,3.000,13.500,12.273,1.227
7,CHOCOLATE,351118,CAD BAR BOOST 60G,13564,351118,35,8.000,0,8,2.140,2.000,4.950,4.500,0.450
7,CHOCOLATE,387070,CAD BAR BOOST 77G,13512,387070,35,56.000,1,21,11.550,7.000,23.100,21.000,2.100
7,CHOCOLATE,23645,CAD BAR BREAKAWAY 44G,23645,581836,42,84.000,2,0,10.700,10.000,23.400,21.272,2.128
7,CHOCOLATE,414966,CAD BAR CARAMELLO 55G,13568,414966,42,59.000,1,16,11.770,11.000,27.180,24.709,2.472
7,CHOCOLATE,386993,CAD BAR CHERRY RIPE 52G,13569,386993,48,19.000,0,19,11.770,11.000,29.250,26.590,2.660
7,CHOCOLATE,387305,CAD BAR CHERRY RIPE 80G,13515,387305,36,32.000,0,32,13.200,8.000,25.740,23.400,2.340
7,CHOCOLATE,431170,CAD BAR CHOMP 30G,13613,00431170,63,30.000,0,30,8.280,12.000,18.000,16.363,1.637
7,CHOCOLATE,327185,CAD BAR CRUNCHIE 50G,13585,327185,42,61.000,1,18,2.140,2.000,4.950,4.500,0.450
7,CHOCOLATE,342070,CAD BAR CRUNCHIE 80G,13519,342070,24,6.000,0,6,3.300,2.000,6.600,6.000,0.600
7,CHOCOLATE,23025,CAD BAR CURLY WURLY 21.5G,23025,00230765,48,136.000,2,40,2.750,5.000,6.000,5.455,0.546
7,CHOCOLATE,386935,CAD BAR DAIRY MILK 50G,13570,386935,48,2.000,0,2,7.490,7.000,15.750,14.318,1.432
7,CHOCOLATE,071904,CAD BAR DREAM 50G,13571,00071904,42,9.000,0,9,4.280,4.000,9.900,9.000,0.900
7,CHOCOLATE,095518,CAD BAR FLAKE 30G,13586,95518,45,33.000,0,33,2.140,2.000,4.500,4.091,0.409
7,CHOCOLATE,011399,CAD BAR FRUIT NUT 50G,13572,11399,42,75.000,1,33,6.420,6.000,14.850,13.500,1.350
7,CHOCOLATE,386414,CAD BAR FRYS TURK DELT 76G,13520,386414,28,0.000,0,0,9.900,6.000,19.140,17.400,1.740
7,CHOCOLATE,414982,CAD BAR HAZELNUT 55G,13573,414982,42,75.000,1,33,2.140,2.000,4.500,4.091,0.409
7,CHOCOLATE,349116,CAD BAR MC JEL POP CNDY 50G,13575,349116,48,20.000,0,20,6.420,6.000,15.300,13.909,1.391
7,CHOCOLATE,386919,CAD BAR PICNIC 46G,13577,386919,25,31.000,1,6,2.140,2.000,5.400,4.909,0.491
7,CHOCOLATE,387208,CAD BAR PICNIC 67G,13517,387208,25,46.000,1,21,6.600,4.000,13.200,12.000,1.200
7,CHOCOLATE,19415,CAD BLK DAIRY MILK 180G,19415,00463075,16,1.000,0,1,24.220,7.000,45.500,41.364,4.136
7,CHOCOLATE,19358,CAD BLK FRUIT NUT 180G,19358,00462972,14,9.000,0,9,13.840,4.000,26.000,23.636,2.364
7,CHOCOLATE,19417,CAD BLK O/GLD DARK 180G,19417,00469097,16,12.000,0,12,3.460,1.000,6.500,5.909,0.591
7,CHOCOLATE,19411,CAD BLK PKD CRUNCHIE 180G,19411,00462922,14,6.000,0,6,10.380,3.000,18.850,17.136,1.714
7,CHOCOLATE,19363,CAD BLK SNACK 180G,19363,00462529,15,6.000,0,6,13.840,4.000,26.000,23.636,2.364
7,CHOCOLATE,5778,CAD CARAMELLO KOALA 35G,5778,00307185,36,20.000,0,20,3.120,4.000,4.800,4.364,0.436
7,CHOCOLATE,003639,CAD FREDDO D/MILK GNT 35G,13605,3639,36,10.000,0,10,7.020,9.000,13.500,12.273,1.228
7,CHOCOLATE,691089,KINDER BUENO 43G,13539,691089,30,34.000,1,3,13.910,13.000,34.560,31.418,3.143
7,CHOCOLATE,20044,MAR BAR BOUNTY 84G,20044,00926471,21,1.000,0,1,3.420,2.000,6.000,5.455,0.545
7,CHOCOLATE,23050,MAR BAR MARS 47G,23050,00233111,50,104.000,2,4,5.600,4.000,10.530,9.573,0.958
7,CHOCOLATE,23052,MAR BAR MARS 64G,23052,00233137,25,15.000,0,15,3.420,2.000,6.600,6.000,0.600
7,CHOCOLATE,22988,MAR BAR MILKY WAY 22G,22988,233242,40,0.000,0,0,6.110,13.000,15.600,14.182,1.418
7,CHOCOLATE,23919,MAR BAR SNICKERS 44G,23919,583294,50,67.000,1,17,1.400,1.000,2.500,2.273,0.227
7,CHOCOLATE,23920,MAR BAR SNICKERS 64G,23920,578875,25,45.000,1,20,11.970,7.000,22.000,20.000,2.000
7,CHOCOLATE,316663,MAR BAR TWIX 50G,13598,925072,20,9.000,0,9,14.300,10.000,27.000,24.545,2.455
7,CHOCOLATE,10101,MAR M&MS MILK CHOC 180G,10101,00622572,18,63.000,3,9,2.980,1.000,5.800,5.273,0.527
7,CHOCOLATE,10103,MAR M&MS MIX UP 145G,10103,00622425,18,27.000,1,9,2.980,1.000,5.800,5.273,0.527
7,CHOCOLATE,10104,MAR M&MS PEANUT 180G,10104,00622580,16,22.000,1,6,11.920,4.000,23.200,21.091,2.109
7,CHOCOLATE,10105,MAR MALTESERS PCH 140G,10105,00621568,24,45.000,1,21,5.960,2.000,11.600,10.545,1.055
7,CHOCOLATE,10115,MAR PODS MARS 160G,10115,00622695,15,10.000,0,10,11.680,4.000,23.200,21.091,2.109
7,CHOCOLATE,10116,MAR PODS SNICKERS 160G,10116,622742,15,3.000,0,3,2.920,1.000,5.800,5.273,0.527
7,CHOCOLATE,10117,MAR PODS TWIX 160G,10117,620368,15,24.000,1,9,5.840,2.000,11.600,10.545,1.055
7,CHOCOLATE,092845,NES BAR K/KAT 45G,13550,00092845,48,2.000,0,2,16.610,11.000,29.700,27.000,2.700
