Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
39,FOOD,6898,HOT CHIPS 500G SERVE,6898,,1,0.000,0,0,3.460,1.000,7.000,6.364,0.636
40,CANDY,017497,ALLENS JELLY BEAN FRT 190G,13806,17497,12,11.000,0,11,5.320,2.000,9.000,8.182,0.818
40,CANDY,025220,ALLENS PARTY MIX 190G,13817,00025220,12,2.000,0,2,7.980,3.000,13.500,12.273,1.227
40,CANDY,018029,ALLENS SNAKES ALIVE 200G,13822,00018029,12,22.000,1,10,2.660,1.000,4.500,4.091,0.409
40,CANDY,473538,BUTTER MENTHOL 40G,13919,473538,36,22.000,0,22,5.280,4.000,9.900,9.000,0.900
40,CANDY,CAD00024,CHUPA CHUP ORIG 12G,589,47353,100,142.000,1,41,0.280,1.000,0.450,0.409,0.041
40,CANDY,069350,L/SAVER FRT PASTILLES 34G,13945,69350,24,1.000,0,1,5.600,7.000,10.500,9.545,0.955
40,CANDY,638528,MENTOS FRUIT 37.5G,13938,638528,40,7.000,0,7,14.550,15.000,30.000,27.273,2.727
40,CANDY,640494,MENTOS MINT 37.5G,13939,640494,40,52.000,1,12,1.940,2.000,4.000,3.636,0.364
40,CANDY,60783,NAT/CONF FRUITY CHEWS 180G,6021,00060783,12,7.000,0,7,9.280,4.000,18.000,16.364,1.636
40,CANDY,001190,NAT/CONF PARTY MIX 180G,13844,00001190,12,8.000,0,8,16.240,7.000,31.500,28.636,2.864
40,CANDY,472540,NAT/CONF SQUIRMS SOUR 180G,13851,472540,12,12.000,1,0,1.940,1.000,4.500,4.091,0.409
40,CANDY,5853,PAS PINEAPPLE LUMPS 185G,5853,00311176,10,5.000,0,5,2.950,1.000,5.000,4.546,0.455
40,CANDY,446280,QUICK-EZE CHWY P/MINT 40G,13899,00446280,32,166.000,5,6,8.000,5.000,12.500,11.364,1.136
40,CANDY,19509,WRIG ECLIPSE MNT S/MNT 40G,19509,00440598,12,12.000,1,0,4.220,2.000,7.000,6.364,0.636
40,CANDY,025686,WRIG EXTRA BTL S/MINT 46S,13959,25686,6,0.000,0,0,6.600,2.000,9.500,8.637,0.864
40,CANDY,22866,WRIG EXTRA BTL WHT SPR 46S,22866,00178308,6,1.000,0,1,9.900,3.000,15.000,13.636,1.364
40,CANDY,081909,WRIG EXTRA ENV SMINT 27G,13996,00081909,24,12.000,0,12,3.040,2.000,5.000,4.545,0.455
40,CANDY,044949,WRIG EXTRA ENV STRWB 27G,13997,044949,24,9.000,0,9,1.520,1.000,2.500,2.273,0.227
40,CANDY,23636,WRIG EXTRA ENV WHITE SMINT 27G,23636,495941,24,15.000,0,15,4.560,3.000,7.500,6.818,0.682
40,CANDY,088765,WRIG EXTRA PELLT WHT SNGL,14007,88765,30,21.000,0,21,0.790,1.000,1.400,1.273,0.127
40,CANDY,093320,WRIG JUICY FRT SNGL,14010,093320,30,18.000,0,18,0.720,1.000,1.400,1.273,0.127
40,CANDY,093338,WRIG PK YELLOW SNGL,14012,93338,30,17.000,0,17,2.160,3.000,4.200,3.818,0.382
41,LIFESTYLE,21241,CORP E&T JUICE KICKSTARTER 350ML,21241,88863,10,23.000,2,2,2.320,1.000,5.100,5.100,0.000
41,LIFESTYLE,19659,CORP E&T JUICE ORANGE 350ML,19659,88749,10,23.000,2,2,2.320,1.000,5.100,5.100,0.000
41,LIFESTYLE,23198,H2COCO CNUT WATER 1L,23198,198832,6,1.000,0,1,15.930,3.000,25.500,25.500,0.000
41,LIFESTYLE,18854,LIPTON TEA MANGO 500ML,18854,10006796,12,35.000,2,10,2.960,2.000,8.000,7.273,0.727
41,LIFESTYLE,LIP0003,LIPTON TEA PEACH 500ML,4032,10006797,12,32.000,2,7,1.480,1.000,4.000,3.636,0.364
41,LIFESTYLE,6068,RIBENA 500ML,6068,4229,12,50.000,4,2,13.950,5.000,23.000,20.909,2.091
