Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
1,BEER,3318,CARLTON DRY CAN 375ML,3318,271101,24,344.000,14,8,239.370,101.000,373.700,339.724,33.976
1,BEER,18835,CARLTON ZERO 0% CAN 375ML,18835,196330,24,24.000,1,0,1.580,1.000,3.000,2.727,0.273
1,BEER,9789,COOPERS PALE CAN 375ML,9789,861087,24,48.000,2,0,22.160,8.000,29.600,26.909,2.691
1,BEER,COR0001,CORONA BTL 355ML,1238,556072,24,363.000,15,3,334.280,122.000,451.400,410.360,41.040
1,BEER,EMU0002,EMU EXPORT CAN 375ML,1249,509842,30,465.000,15,15,361.150,155.000,496.000,450.909,45.091
1,BEER,5298,GREAT NTH 3.5% CAN 375ML,5298,443973,30,356.000,11,26,313.500,150.000,480.000,436.365,43.635
1,BEER,GUI0001,GUINNESS CAN 440ML,1254,569588,24,46.000,1,22,7.460,2.000,9.600,8.727,0.873
1,BEER,1095,HAHN S/DRY 3.5% CAN 375ML,1095,638468,30,257.000,8,16,211.500,94.000,300.800,273.455,27.345
1,BEER,1271,HEINEKEN BTL 330ML,1271,505149,24,24.000,1,0,140.920,52.000,192.400,174.908,17.492
1,BEER,JS002,J/SQUIRE 150 LASHES BTL 330ML *RR*,1276,052874,24,188.000,7,19,73.170,27.000,105.300,95.728,9.572
1,BEER,1969,L/CREAT ROGERS 3.8% BTL 330ML,1969,786143,24,6.000,0,6,177.940,62.000,229.400,208.544,20.856
1,BEER,3361,LITTLE CREAT PALE BTL 330ML,3361,585725,24,120.000,5,0,75.120,24.000,103.200,93.818,9.382
1,BEER,5557,MATSOS GINGER 3.5% CAN 330ML,5557,641526,24,77.000,3,5,70.890,17.000,73.100,66.455,6.645
1,BEER,CAR002,PURE BLONDE 3.5% BTL 330ML,1222,266753,24,129.000,5,9,95.940,41.000,139.400,126.727,12.673
1,BEER,844200,PURE BLONDE BTL 355ML *RR*,1217,397321,24,2.000,0,2,286.700,122.000,451.400,410.361,41.039
1,BEER,stein001,STEINLAGER PURE BTL 330ML,1640,660135,24,-1.000,0,-1,3.480,1.000,3.700,3.364,0.336
1,BEER,VIC0001,VB CAN 375ML,1318,780074,30,104.000,3,14,54.250,25.000,92.500,84.090,8.410
1,BEER,XXX0001,XXXX GOLD 3.5% CAN 375ML,1325,505987,30,152.000,5,1,78.810,37.000,118.400,107.637,10.763
2,CIDER,9304,SOMERSBY PEAR BTL 330ML *RR*,9304,565982,24,89.000,3,17,37.100,14.000,65.800,59.818,5.982
2,CIDER,23563,STRONGBOW DRY BTL 330ML,23563,572366,24,50.000,2,2,4.420,2.000,7.400,6.727,0.673
3,SPIRITS,BUND0001,BUNDY UP COLA CAN 375ML,3010,551551,24,37.000,1,13,251.720,58.000,359.600,326.911,32.689
3,SPIRITS,CAN0001,CAN/CLUB DRY CAN 375ML,3018,417278,30,91.000,3,0,197.550,45.000,279.000,253.638,25.362
3,SPIRITS,21422,CAN/CLUB DRY ZERO CAN 375ML,21422,730406,24,0.000,0,0,8.020,2.000,12.400,11.273,1.127
3,SPIRITS,23400,CAN/CLUB SODA LIME 4.8% CAN 375ML,23400,425836,24,200.000,8,8,84.210,21.000,130.200,118.364,11.836
3,SPIRITS,JIM0001,J/BEAM COLA CAN 375ML,3049,610839,24,163.000,6,19,58.760,13.000,80.600,73.273,7.327
3,SPIRITS,JIM0002,J/BEAM ZERO CAN 375ML,3045,581687,24,304.000,12,15,172.430,43.000,266.600,242.365,24.235
3,SPIRITS,JD001,J/DANIELS COLA 3.5% CAN 375ML,3042,501043,24,3.000,0,3,60.190,13.000,78.000,70.909,7.091
3,SPIRITS,JAC0001,J/DANIELS COLA CAN 375ML,3030,570932,24,320.000,13,8,462.210,93.000,576.600,524.185,52.415
3,SPIRITS,1108,J/DANIELS DRY CAN 375ML,1108,596310,24,150.000,6,6,134.190,27.000,167.400,152.183,15.217
3,SPIRITS,6018,J/DANIELS N/SUGAR CAN 375ML,6018,427082,24,214.000,8,21,437.360,88.000,545.600,496.002,49.598
3,SPIRITS,UDL0001,UDL VDK L/LIME SODA 4% CAN 375ML,3071,197250,24,117.000,4,21,4.310,1.000,5.600,5.091,0.509
3,SPIRITS,UDL0003,UDL VDK P/FRT 4% CAN 375ML,3073,197221,24,100.000,4,4,17.280,4.000,22.400,20.364,2.036
3,SPIRITS,3444,W/TURKEY COLA CAN 375ML,3444,281059,24,244.000,10,3,248.400,46.000,308.200,280.182,28.018
4,WINES,JAC0005,JACOBS CK MERLOT 187ML,4120,585458,24,44.000,1,20,16.560,6.000,30.600,27.818,2.782
4,WINES,6612,JACOBS CK SAUV BLANC 187ML,6612,501001,24,31.000,1,7,30.360,11.000,56.100,51.000,5.100
4,WINES,yel0011,YELLOWTAIL PNT GRIGIO 187ML,4125,515725,24,0.000,0,0,34.210,11.000,56.100,51.000,5.100
5,TOBACCO,9022,BIC LIGHTER REGULAR,9022,437875,50,149.000,2,49,6.840,6.000,21.000,19.091,1.909
5,TOBACCO,9310704907231,BOND ST BLUE 20/200,6333,270032,10,36.000,3,6,838.080,27.000,1115.100,1013.728,101.372
5,TOBACCO,9310704907255,BOND ST GOLD 20/200,6336,270095,10,53.000,5,2,155.200,5.000,206.500,187.728,18.773
5,TOBACCO,9310704907217,BOND ST RED 20/200,6341,270040,10,13.000,1,3,124.160,4.000,165.200,150.182,15.018
5,TOBACCO,9327329010628,CHAMPION RUBY RYO 25/250G,6370,407804,10,13.000,1,3,228.640,4.000,292.800,266.182,26.618
5,TOBACCO,9327329012264,JPS CRUSHBALL GOLD 25/200,19795,941214,8,22.000,2,6,122.040,3.000,157.200,142.909,14.291
5,TOBACCO,93229593,LB BLUE 40/160,9005,450043,4,7.000,1,3,62.830,1.000,79.900,72.636,7.264
5,TOBACCO,93229586,LB ORIG YELLOW 40/160,9004,450035,4,5.000,1,1,62.830,1.000,79.900,72.636,7.264
5,TOBACCO,9310704912525,PJ CLASSIC GOLD 30/180,18707,895405,6,17.000,2,5,191.280,4.000,255.600,232.364,23.236
5,TOBACCO,93211147,PJ ORIG BLUE 30/180,9008,450394,6,20.000,3,2,103.800,2.000,133.800,121.636,12.164
5,TOBACCO,9310797281683,PORT ROYAL RYO R&W 25/125G,9750,602629,5,27.000,5,2,57.660,1.000,74.900,68.091,6.809
5,TOBACCO,17843,RANCH FLT MICRO SLIM 130S,17843,485323,12,27.000,2,3,1.390,1.000,2.900,2.636,0.264
5,TOBACCO,9024,RIZLA PAPERS DBL 100PK,9024,999979,25,99.000,3,24,0.910,1.000,2.500,2.273,0.227
5,TOBACCO,9025,TALLY HO PAPERS 50PK,9025,081103,100,400.000,4,0,1.320,2.000,4.000,3.636,0.364
5,TOBACCO,9310797284905,WF ORIG BLUE 25/200,19744,197726,8,8.000,1,0,339.520,8.000,447.200,406.546,40.654
5,TOBACCO,9310797284929,WF ORIG GOLD 25/200,19746,214337,8,25.000,3,1,84.880,2.000,111.800,101.636,10.164
