Group_Number,Group_Description,Inventory_Code,PLU_Number,Description,UnitsPerCase,SupplierStockCode,SOH,Cases,Units,CASESCARTONS,Min_Stock,Max_Stock,OnOrder,DAYSSTOCK,REORDERQTY,ReorderCases,ReorderUnits,REORDERCASESCARTONS,SUMOFQTY_7,SUMOFSALES_7,SUMOFSALESEX_7,SUMOFCOST_7,SUMOFQTY_28,SUMOFSALES_28,SUMOFSALESEX_28,SUMOFCOST_28
4,WINES,YEL0010,4124,YELLOWTAIL CHARDONNAY 187ML,24,515717,37.000,1,13,1/13,0.000,0.000,0.000,1036.000,0.000,0,13,-1/13,1.000,5.100,4.636,3.110,1.000,5.100,4.636,3.110
4,WINES,yel0011,4125,YELLOWTAIL PNT GRIGIO 187ML,24,515725,0.000,0,0,0/0,0.000,0.000,24.000,0.000,0.000,0,0,-1/0,0.000,0.000,0.000,0.000,25.000,127.500,115.910,77.750
5,TOBACCO,9022,9022,BIC LIGHTER REGULAR,50,437875,149.000,2,49,2/49,0.000,0.000,100.000,219.579,0.000,0,49,-4/49,2.000,7.000,6.364,2.280,19.000,66.500,60.454,21.660
5,TOBACCO,9310704907231,6333,BOND ST BLUE 20/200,10,270032,36.000,3,6,3/6,0.000,0.000,30.000,16.525,0.000,0,6,-6/6,8.000,330.400,300.364,248.320,61.000,2519.300,2290.275,1893.440
5,TOBACCO,9310704907255,6336,BOND ST GOLD 20/200,10,270095,53.000,5,2,5/3,0.000,0.000,30.000,92.750,0.000,0,3,-8/3,1.000,41.300,37.546,31.040,16.000,660.800,600.728,496.640
5,TOBACCO,9310704907217,6341,BOND ST RED 20/200,10,270040,13.000,1,3,1/3,0.000,0.000,20.000,18.200,0.000,0,3,-3/3,11.000,454.300,413.001,341.440,20.000,826.000,750.910,620.800
5,TOBACCO,9327329010628,6370,CHAMPION RUBY RYO 25/250G,10,407804,13.000,1,3,1/3,0.000,0.000,20.000,33.091,0.000,0,3,-3/3,0.000,0.000,0.000,0.000,11.000,805.200,732.001,628.760
5,TOBACCO,9327329012240,19791,JPS CRUSHBALL BLUE 25/200,8,941188,40.000,5,0,5/0,0.000,0.000,8.000,101.818,0.000,0,0,-6/0,6.000,314.400,285.818,244.080,11.000,576.400,524.000,447.480
5,TOBACCO,9327329012264,19795,JPS CRUSHBALL GOLD 25/200,8,941214,22.000,2,6,2/6,0.000,0.000,8.000,34.222,0.000,0,6,-3/6,10.000,524.000,476.364,406.800,18.000,943.200,857.455,732.240
5,TOBACCO,93229593,9005,LB BLUE 40/160,4,450043,7.000,1,3,1/3,0.000,0.000,4.000,65.333,0.000,0,3,-2/3,1.000,79.900,72.636,62.830,3.000,239.700,217.909,188.490
5,TOBACCO,93229586,9004,LB ORIG YELLOW 40/160,4,450035,5.000,1,1,1/1,0.000,0.000,8.000,14.000,0.000,0,1,-3/1,3.000,239.700,217.909,188.490,10.000,799.000,726.364,628.300
5,TOBACCO,9310704912525,18707,PJ CLASSIC GOLD 30/180,6,895405,17.000,2,5,2/5,0.000,0.000,0.000,68.000,0.000,0,5,-2/5,1.000,63.900,58.091,47.820,7.000,447.300,406.636,334.740
5,TOBACCO,93211147,9008,PJ ORIG BLUE 30/180,6,450394,20.000,3,2,3/2,0.000,0.000,6.000,37.333,0.000,0,2,-4/2,4.000,267.600,243.273,207.600,15.000,1003.500,912.273,778.500
5,TOBACCO,9310797281683,9750,PORT ROYAL RYO R&W 25/125G,5,602629,27.000,5,2,5/2,0.000,0.000,5.000,126.000,0.000,0,2,-6/2,2.000,149.800,136.182,115.320,6.000,449.400,408.545,345.960
5,TOBACCO,17843,17843,RANCH FLT MICRO SLIM 130S,12,485323,27.000,2,3,2/3,0.000,0.000,12.000,252.000,0.000,0,3,-3/3,0.000,0.000,0.000,0.000,3.000,8.700,7.909,4.170
5,TOBACCO,968,968,RANCH FLT SUPA SLIM 130S,12,329983,17.000,1,5,1/5,0.000,0.000,12.000,238.000,0.000,0,5,-2/5,1.000,2.900,2.636,1.390,2.000,5.800,5.273,2.780
5,TOBACCO,9024,9024,RIZLA PAPERS DBL 100PK,25,999979,99.000,3,24,3/24,0.000,0.000,25.000,308.000,0.000,0,24,-4/24,0.000,0.000,0.000,0.000,9.000,22.500,20.454,8.190
5,TOBACCO,9025,9025,TALLY HO PAPERS 50PK,100,081103,400.000,4,0,4/0,0.000,0.000,0.000,1600.000,0.000,0,0,-4/0,2.000,4.000,3.636,1.320,7.000,14.000,12.727,4.620
5,TOBACCO,9310797284905,19744,WF ORIG BLUE 25/200,8,197726,8.000,1,0,1/0,0.000,0.000,64.000,6.588,0.000,0,0,-9/0,7.000,391.300,355.727,297.080,34.000,1900.600,1727.819,1442.960
5,TOBACCO,9310797284929,19746,WF ORIG GOLD 25/200,8,214337,25.000,3,1,3/1,0.000,0.000,40.000,63.636,0.000,0,1,-8/1,3.000,167.700,152.455,127.320,11.000,614.900,559.000,466.840
5,TOBACCO,9310797284882,19506,WF ORIG RED 25/200,8,196851,3.000,0,3,0/3,0.000,0.000,40.000,8.400,0.000,0,3,-5/3,0.000,0.000,0.000,0.000,10.000,559.000,508.182,424.400
5,TOBACCO,9310797281720,9763,WF RYO BLUE 25/125G,5,363123,7.000,1,1,1/2,0.000,0.000,10.000,49.000,0.000,0,2,-3/2,1.000,74.000,67.273,55.320,4.000,296.000,269.091,221.280
5,TOBACCO,9310797281744,9764,WF RYO GOLD 25/125G,5,363115,10.000,2,0,2/0,0.000,0.000,5.000,140.000,0.000,0,0,-3/0,0.000,0.000,0.000,0.000,2.000,148.000,134.545,110.640
6,SOFTDRINKS,20561,20561,*DEL* PEPSI 1.25L,12,2689,14.000,1,2,1/2,0.000,0.000,0.000,98.000,0.000,0,2,-1/2,1.000,5.300,4.818,1.540,4.000,21.200,19.273,6.160
6,SOFTDRINKS,090712,15638,B/BERG GINGER BEER 375ML,24,90712,23.000,0,23,0/23,0.000,0.000,96.000,28.000,0.000,0,23,-4/23,5.000,14.000,12.727,8.200,23.000,64.400,58.546,37.720
6,SOFTDRINKS,428583,15635,B/BERG GINGER BEER 750ML,12,00428583,23.000,1,11,1/11,0.000,0.000,48.000,107.333,0.000,0,11,-5/11,1.000,4.000,3.636,2.750,6.000,24.000,21.818,16.500
6,SOFTDRINKS,5999,5999,B/BERG LEM/LIME BTTRS 375ML,12,00390455,40.000,3,4,3/4,0.000,0.000,72.000,140.000,0.000,0,4,-9/4,6.000,16.800,15.273,9.840,8.000,22.400,20.364,13.120
6,SOFTDRINKS,436,436,COKE 1.25L,12,950062,18.000,1,6,1/6,0.000,0.000,0.000,56.000,0.000,0,6,-1/6,3.000,15.900,14.455,8.430,9.000,47.700,43.364,25.290
6,SOFTDRINKS,4010,4010,COKE 375ML,24,950971,212.000,8,20,8/20,0.000,0.000,344.000,34.512,0.000,0,4,-23/4,46.000,128.800,117.092,62.560,172.000,481.040,437.314,233.920
6,SOFTDRINKS,4011,4011,COKE 600ML,24,955732,161.000,6,16,6/17,0.000,0.000,0.000,88.392,0.000,0,17,-6/17,7.000,30.500,27.727,14.630,51.000,216.500,196.818,106.590
6,SOFTDRINKS,16565,16565,COKE NO SUGAR 1.25L,12,953321,11.000,0,11,0/11,0.000,0.000,0.000,308.000,0.000,0,11,0/11,1.000,5.300,4.818,2.810,1.000,5.300,4.818,2.810
6,SOFTDRINKS,16563,16563,COKE NO SUGAR 375ML,24,953346,308.000,12,20,12/20,0.000,0.000,320.000,98.000,0.000,0,4,-26/4,20.000,56.000,50.910,27.200,88.000,246.120,223.748,119.680
6,SOFTDRINKS,16567,16567,COKE NO SUGAR 600ML,24,953320,121.000,5,1,5/1,0.000,0.000,24.000,31.083,0.000,0,1,-6/1,23.000,93.500,85.000,48.070,109.000,459.500,417.727,227.810
6,SOFTDRINKS,20058,20058,LEVEL LEMONADE ORIG 300ML,6,00871341,36.000,6,0,6/0,0.000,0.000,66.000,168.000,0.000,0,0,-17/0,1.000,4.600,4.182,2.640,6.000,27.600,25.091,15.840
6,SOFTDRINKS,20059,20059,LEVEL LEMONADE PINE 300ML,6,00871375,34.000,5,4,5/4,0.000,0.000,108.000,119.000,0.000,0,4,-23/4,2.000,9.200,8.364,5.280,8.000,36.800,33.454,21.120
6,SOFTDRINKS,7097,7097,LEVEL LEMONADE RASP 300ML,6,318539,36.000,6,0,6/0,0.000,0.000,66.000,336.000,0.000,0,0,-17/0,1.000,4.600,4.182,2.640,3.000,13.800,12.545,7.920
6,SOFTDRINKS,20571,20571,MOUNTAIN DEW 440ML,24,10004814,3.000,0,3,0/3,0.000,0.000,72.000,2.545,0.000,0,3,-3/3,10.000,30.080,27.346,9.500,33.000,99.970,90.883,31.350
6,SOFTDRINKS,20577,20577,MOUNTAIN DEW 600ML,24,10004815,34.000,1,10,1/10,0.000,0.000,0.000,952.000,0.000,0,10,-1/10,0.000,0.000,0.000,0.000,1.000,4.500,4.091,1.510
6,SOFTDRINKS,20568,20568,PEPSI 440ML,24,10005611,80.000,3,8,3/8,0.000,0.000,96.000,70.000,0.000,0,8,-7/8,15.000,44.990,40.900,14.250,32.000,96.090,87.355,30.400
6,SOFTDRINKS,20574,20574,PEPSI 600ML,24,3221,67.000,2,18,2/19,0.000,0.000,0.000,375.200,0.000,0,19,-2/19,1.000,4.500,4.091,1.510,5.000,22.500,20.455,7.550
6,SOFTDRINKS,18926,18926,PEPSI MAX 440ML,24,10002391,101.000,4,4,4/5,0.000,0.000,48.000,148.842,0.000,0,5,-6/5,8.000,24.200,22.000,7.600,19.000,57.500,52.273,18.050
6,SOFTDRINKS,20572,20572,PEPSI MAX 600ML,24,3226,11.000,0,11,0/11,0.000,0.000,48.000,9.059,0.000,0,11,-2/11,3.000,13.500,12.273,4.530,34.000,153.000,139.091,51.340
6,SOFTDRINKS,20575,20575,SCH LEMONADE 600ML,24,2919,51.000,2,3,2/3,0.000,0.000,24.000,204.000,0.000,0,3,-3/3,2.000,9.000,8.182,3.020,7.000,31.500,28.636,10.570
6,SOFTDRINKS,20569,20569,SCH TRAD RASP 440ML,24,10005613,79.000,3,6,3/7,0.000,0.000,168.000,316.000,0.000,0,7,-10/7,3.000,9.100,8.273,2.850,7.000,21.500,19.546,6.650
6,SOFTDRINKS,20578,20578,SCH TRAD RASP 600ML,24,2925,91.000,3,18,3/19,0.000,0.000,0.000,509.600,0.000,0,19,-3/19,2.000,9.000,8.182,3.020,5.000,22.500,20.455,7.550
6,SOFTDRINKS,20560,20560,SOLO 1.25L,12,10003418,10.000,0,10,0/10,0.000,0.000,0.000,140.000,0.000,0,10,0/10,2.000,10.600,9.636,3.120,2.000,10.600,9.636,3.120
